"Freq [GHz]","dB(S(1,1)) []"
2,-4.14372833053173
2.1,-5.83317912481039
2.2,-7.96464184521058
2.3,-10.5483991759899
2.4,-13.4213405687376
2.5,-15.637211841034
2.6,-15.3755772338947
2.7,-12.9822176794584
2.8,-9.58150020749013
2.9,-5.62382212736776
3,-10.7770832548962
3.1,-11.5175046258457
3.2,-9.81973208754178
3.3,-7.79946554524277
3.4,-5.49678114774476
3.5,-3.25802818404908
3.6,-2.65950253117694
3.7,-4.27695954105837
3.8,-6.37400350832101
3.9,-8.12932694021649
4,-9.51206143726465
4.1,-10.6286033923698
4.2,-11.5645831608965
4.3,-12.3625691850165
4.4,-13.0216253024381
4.5,-13.5040626815699
4.6,-13.7601691404752
4.7,-13.7730977554678
4.8,-13.5880658634556
4.9,-13.2879938037318
5,-12.9427171720174
