Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.04706
10,0,2.04706
20,0,2.04706
30,0,2.04706
40,0,2.04706
50,0,2.04706
60,0,2.04706
70,0,2.04706
80,0,2.04706
90,0,2.04706
100,0,2.04706
110,0,2.04706
120,0,2.04706
130,0,2.04706
140,0,2.04706
150,0,2.04706
160,0,2.04706
170,0,2.04706
180,0,2.04706
190,0,2.04706
200,0,2.04706
210,0,2.04706
220,0,2.04706
230,0,2.04706
240,0,2.04706
250,0,2.04706
260,0,2.04706
270,0,2.04706
280,0,2.04706
290,0,2.04706
300,0,2.04706
310,0,2.04706
320,0,2.04706
330,0,2.04706
340,0,2.04706
350,0,2.04706
360,0,2.04706
0,10,2.0051
10,10,2.00909
20,10,2.00493
30,10,1.99386
40,10,1.97795
50,10,1.9599
60,10,1.94267
70,10,1.92916
80,10,1.92175
90,10,1.92199
100,10,1.93032
110,10,1.946
120,10,1.96721
130,10,1.99132
140,10,2.01521
150,10,2.03572
160,10,2.05002
170,10,2.05591
180,10,2.0521
190,10,2.0383
200,10,2.01533
210,10,1.98502
220,10,1.95008
230,10,1.91386
240,10,1.87996
250,10,1.85183
260,10,1.83232
270,10,1.82329
280,10,1.8254
290,10,1.83801
300,10,1.85932
310,10,1.88665
320,10,1.9168
330,10,1.94646
340,10,1.97258
350,10,1.99269
360,10,2.0051
0,20,1.94196
10,20,1.94079
20,20,1.90713
30,20,1.84521
40,20,1.7625
50,20,1.66943
60,20,1.57859
70,20,1.50328
80,20,1.45535
90,20,1.44298
100,20,1.46888
110,20,1.52962
120,20,1.61644
130,20,1.71711
140,20,1.81818
150,20,1.90705
160,20,1.97326
170,20,2.00921
180,20,2.0104
190,20,1.9754
200,20,1.90601
210,20,1.80739
220,20,1.68825
230,20,1.56055
240,20,1.43864
250,20,1.33746
260,20,1.27008
270,20,1.24521
280,20,1.26535
290,20,1.32647
300,20,1.41909
310,20,1.53045
320,20,1.64686
330,20,1.75552
340,20,1.84576
350,20,1.90959
360,20,1.94196
0,30,1.86953
10,30,1.85563
20,30,1.7728
30,30,1.62685
40,30,1.42985
50,30,1.20176
60,30,0.970786
70,30,0.771121
80,30,0.637129
90,30,0.594658
100,30,0.652737
110,30,0.800284
120,30,1.01009
130,30,1.24755
140,30,1.47927
150,30,1.67835
160,30,1.82594
170,30,1.91037
180,30,1.92522
190,30,1.8679
200,30,1.73932
210,30,1.54522
220,30,1.29845
230,30,1.02118
240,30,0.745249
250,30,0.509221
260,30,0.351241
270,30,0.29891
280,30,0.360269
290,30,0.521243
300,30,0.751365
310,30,1.01389
320,30,1.27458
330,30,1.50634
340,30,1.69003
350,30,1.81341
360,30,1.86953
0,40,1.78804
10,40,1.75614
20,40,1.61441
30,40,1.36487
40,40,1.01725
50,40,0.59596
60,40,0.146254
70,40,-0.264119
80,40,-0.553851
90,40,-0.65262
100,40,-0.533737
110,40,-0.229582
120,40,0.186319
130,40,0.633323
140,40,1.04747
150,40,1.38806
160,40,1.63392
170,40,1.77624
180,40,1.8117
190,40,1.7377
200,40,1.55113
210,40,1.25145
220,40,0.84737
