"Freq [GHz]","dB(S(1,1)) []"
2,-5.79936504870771
2.1,-6.94254936807858
2.2,-7.89932386327956
2.3,-8.60384679287668
2.4,-9.06144548298547
2.5,-9.32857080376547
2.6,-9.4765621715194
2.7,-9.56551687977569
2.8,-9.63289575816659
2.9,-9.68157186111102
3,-9.61351706207406
3.1,-8.78284427958795
3.2,-5.80829132681968
3.3,-7.31021116655618
3.4,-8.6915797090896
3.5,-9.33560534064228
3.6,-9.68845964280399
3.7,-9.87250076804127
3.8,-9.90775027589606
3.9,-9.76597160666002
4,-9.36909547492867
4.1,-8.56651060552219
4.2,-7.15120022694454
4.3,-5.37785021386479
4.4,-5.78094336877766
4.5,-8.71555555264802
4.6,-11.0034037056264
4.7,-12.0974160723162
4.8,-12.3787157387551
4.9,-12.2169600534311
5,-11.8602040489134
