Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.12775
10,0,2.12775
20,0,2.12775
30,0,2.12775
40,0,2.12775
50,0,2.12775
60,0,2.12775
70,0,2.12775
80,0,2.12775
90,0,2.12775
100,0,2.12775
110,0,2.12775
120,0,2.12775
130,0,2.12775
140,0,2.12775
150,0,2.12775
160,0,2.12775
170,0,2.12775
180,0,2.12775
190,0,2.12775
200,0,2.12775
210,0,2.12775
220,0,2.12775
230,0,2.12775
240,0,2.12775
250,0,2.12775
260,0,2.12775
270,0,2.12775
280,0,2.12775
290,0,2.12775
300,0,2.12775
310,0,2.12775
320,0,2.12775
330,0,2.12775
340,0,2.12775
350,0,2.12775
360,0,2.12775
0,10,2.10591
10,10,2.11266
20,10,2.11056
30,10,2.10066
40,10,2.08484
50,10,2.06559
60,10,2.04577
70,10,2.02824
80,10,2.0155
90,10,2.0093
100,10,2.01038
110,10,2.01834
120,10,2.03171
130,10,2.04819
140,10,2.06498
150,10,2.07918
160,10,2.08819
170,10,2.08999
180,10,2.08337
190,10,2.06809
200,10,2.04492
210,10,2.01562
220,10,1.98276
230,10,1.94956
240,10,1.91948
250,10,1.89585
260,10,1.8814
270,10,1.87791
280,10,1.8859
290,10,1.90458
300,10,1.93195
310,10,1.96515
320,10,2.0008
330,10,2.03548
340,10,2.06608
350,10,2.09012
360,10,2.10591
0,20,2.01794
10,20,2.0214
20,20,1.9936
30,20,1.93791
40,20,1.86035
50,20,1.76981
60,20,1.67773
70,20,1.59699
80,20,1.53989
90,20,1.51563
100,20,1.52815
110,20,1.57508
120,20,1.6484
130,20,1.73633
140,20,1.82577
150,20,1.90444
160,20,1.96232
170,20,1.99217
180,20,1.98973
190,20,1.95362
200,20,1.88548
210,20,1.7901
220,20,1.67567
230,20,1.55363
240,20,1.43789
250,20,1.34321
260,20,1.28282
270,20,1.26569
280,20,1.2945
290,20,1.36493
300,20,1.4668
310,20,1.58639
320,20,1.70926
330,20,1.82244
340,20,1.91577
350,20,1.98226
360,20,2.01794
0,30,1.88139
10,30,1.8722
20,30,1.80104
30,30,1.67143
40,30,1.49124
50,30,1.27566
60,30,1.04916
70,30,0.844658
80,30,0.698104
90,30,0.638861
100,30,0.679679
110,30,0.81188
120,30,1.00885
130,30,1.23533
140,30,1.45709
150,30,1.6469
160,30,1.78631
170,30,1.86432
180,30,1.87514
190,30,1.81646
200,30,1.68929
210,30,1.49915
220,30,1.25831
230,30,0.987918
240,30,0.718661
250,30,0.488519
260,30,0.336185
270,30,0.290669
280,30,0.361109
290,30,0.532966
300,30,0.773559
310,30,1.04322
320,30,1.30564
330,30,1.53366
340,30,1.7104
350,30,1.82735
360,30,1.88139
0,40,1.72577
10,40,1.69785
20,40,1.57329
30,40,1.35099
40,40,1.03412
50,40,0.638518
60,40,0.20172
70,40,-0.211972
80,40,-0.518518
90,40,-0.639997
100,40,-0.541418
110,40,-0.250259
120,40,0.160126
130,40,0.605964
140,40,1.01945
150,40,1.35753
160,40,1.59879
170,40,1.73544
180,40,1.76514
190,40,1.68606
200,40,1.49603
210,40,1.19563
220,40,0.794121
230,40,0.316871
240,40,-0.187819
250,40,-0.645896
260,40,-0.966013
270,40,-1.06777
280,40,-0.922215
290,40,-0.570791
300,40,-0.101178
310,40,0.394839
320,40,0.848205
330,40,1.21858
340,40,1.48904
350,40,1.65706
360,40,1.72577
0,50,1.58059
10,50,1.53281
20,50,1.35211
30,50,1.02768
40,50,0.549705
50,50,-0.0769169
60,50,-0.812469
70,50,-1.55838
80,50,-2.14566
90,50,-2.3808
100,50,-2.169
110,50,-1.59475
120,50,-0.845445
130,50,-0.0905113
140,50,0.565108
150,50,1.07319
160,50,1.42217
170,50,1.61792
180,50,1.66824
190,50,1.57394
200,50,1.32743
210,50,0.917699
220,50,0.340056
230,50,-0.390121
240,50,-1.22014
250,50,-2.03857
260,50,-2.66153
270,50,-2.87947
280,50,-2.59969
290,50,-1.9373
300,50,-1.11158
310,50,-0.303605
320,50,0.385247
330,50,0.914997
340,50,1.28203
350,50,1.49916
360,50,1.58059
0,60,1.46576
10,60,1.4014
20,60,1.16849
30,60,0.742595
40,60,0.0939011
50,60,-0.798885
60,60,-1.92306
70,60,-3.17768
80,60,-4.27855
90,60,-4.74718
100,60,-4.29626
110,60,-3.20401
120,60,-1.94076
130,60,-0.790875
140,60,0.135457
150,60,0.814625
160,60,1.26251
170,60,1.50879
180,60,1.57745
190,60,1.47445
200,60,1.18569
210,60,0.683445
220,60,-0.0613998
230,60,-1.06317
240,60,-2.2987
250,60,-3.65859
260,60,-4.84239
270,60,-5.32047
280,60,-4.7751
290,60,-3.55445
300,60,-2.19594
310,60,-0.993337
320,60,-0.042366
330,60,0.649302
340,60,1.10858
350,60,1.37143
360,60,1.46576
0,70,1.39189
10,70,1.31621
20,70,1.04056
30,70,0.525318
40,70,-0.282051
50,70,-1.44122
60,70,-3.01035
70,70,-4.99483
80,70,-7.10143
90,70,-8.16681
100,70,-7.09954
110,70,-4.99678
120,70,-3.00381
130,70,-1.41145
140,70,-0.225726
150,70,0.600335
160,70,1.12487
170,70,1.40619
180,70,1.48737
190,70,1.38154
200,70,1.06816
210,70,0.501251
220,70,-0.377429
230,70,-1.62729
240,70,-3.30078
250,70,-5.40564
260,70,-7.66573
270,70,-8.83066
280,70,-7.62696
290,70,-5.34031
300,70,-3.23804
310,70,-1.59561
320,70,-0.391052
330,70,0.444878
340,70,0.983063
350,70,1.28495
360,70,1.39189
0,80,1.36497
10,80,1.28225
20,80,0.976738
30,80,0.396192
40,80,-0.530688
50,80,-1.90024
60,80,-3.86533
70,80,-6.69483
80,80,-10.7443
90,80,-14.0339
100,80,-10.6655
110,80,-6.63735
120,80,-3.81441
130,80,-1.8429
140,80,-0.468147
150,80,0.453839
160,80,1.0228
170,80,1.32085
180,80,1.40725
190,80,1.30208
200,80,0.980159
210,80,0.380689
220,80,-0.578949
230,80,-2.00153
240,80,-4.03516
250,80,-6.94343
260,80,-11.1454
270,80,-14.8507
280,80,-11.2312
290,80,-6.96394
300,80,-4.03156
310,80,-2.01024
320,80,-0.614165
330,80,0.324556
340,80,0.918492
350,80,1.24841
360,80,1.36497
0,90,1.38617
10,90,1.29897
20,90,0.978307
30,90,0.36682
40,90,-0.614183
50,90,-2.0756
60,90,-4.21693
70,90,-7.49425
80,90,-13.3674
90,90,-30.1079
100,90,-13.0738
110,90,-7.33576
120,90,-4.10172
130,90,-1.98497
140,90,-0.55007
150,90,0.396742
160,90,0.97335
170,90,1.27132
180,90,1.35681
190,90,1.25362
200,90,0.935137
210,90,0.334153
220,90,-0.642589
230,90,-2.11679
240,90,-4.28217
250,90,-7.56087
260,90,-13.3088
270,90,-30.2307
280,90,-13.617
290,90,-7.66262
300,90,-4.32234
310,90,-2.14605
320,90,-0.675994
330,90,0.303704
340,90,0.922164
350,90,1.26547
360,90,1.38617
0,100,1.44761
10,100,1.35896
20,100,1.03977
30,100,0.437828
40,100,-0.517365
50,100,-1.91828
60,100,-3.91263
70,100,-6.77043
80,100,-10.8622
90,100,-14.1135
100,100,-10.5904
110,100,-6.55115
120,100,-3.74793
130,100,-1.80394
140,100,-0.457743
150,100,0.438715
160,100,0.987409
170,100,1.27181
180,100,1.35296
190,100,1.25299
200,100,0.947039
210,100,0.372045
220,100,-0.557868
230,100,-1.94776
240,100,-3.94514
250,100,-6.80194
260,100,-10.8826
270,100,-14.4111
280,100,-11.0678
290,100,-6.90086
300,100,-3.99032
310,100,-1.97147
320,100,-0.569511
330,100,0.38077
340,100,0.988399
350,100,1.32855
360,100,1.44761
0,110,1.5311
10,110,1.44655
20,110,1.1477
30,110,0.595803
40,110,-0.258556
50,110,-1.46706
60,110,-3.07716
70,110,-5.08592
80,110,-7.18847
90,110,-8.1875
100,110,-7.02731
110,110,-4.89021
120,110,-2.91012
130,110,-1.35312
140,110,-0.210252
150,110,0.574925
160,110,1.06644
170,110,1.32655
180,110,1.40176
190,110,1.30764
200,110,1.02305
210,110,0.497889
220,110,-0.331149
230,110,-1.52761
240,110,-3.14655
250,110,-5.19465
260,110,-7.39774
270,110,-8.56492
280,110,-7.46026
290,110,-5.24835
300,110,-3.17481
310,110,-1.53616
320,110,-0.32066
330,110,0.535942
340,110,1.09805
350,110,1.41829
360,110,1.5311
0,120,1.6164
10,120,1.54304
20,120,1.28365
30,120,0.815965
40,120,0.116054
50,120,-0.826821
60,120,-1.98711
70,120,-3.25282
80,120,-4.33217
90,120,-4.74769
100,120,-4.23755
110,120,-3.11332
120,120,-1.85317
130,120,-0.73166
140,120,0.154046
150,120,0.791703
160,120,1.20583
170,120,1.43234
180,120,1.49932
190,120,1.41416
200,120,1.16055
210,120,0.70593
220,120,0.0158474
230,120,-0.929293
240,120,-2.11281
250,120,-3.43382
260,120,-4.60473
270,120,-5.11223
280,120,-4.62854
290,120,-3.46263
300,120,-2.13319
310,120,-0.936006
320,120,0.0273639
330,120,0.742956
340,120,1.22961
350,120,1.51397
360,120,1.6164
0,130,1.6968
10,130,1.6403
20,130,1.43542
30,130,1.07443
40,130,0.554469
50,130,-0.109494
60,130,-0.867149
70,130,-1.61248
80,130,-2.17554
90,130,-2.3708
100,130,-2.11941
110,130,-1.52131
120,130,-0.770178
130,130,-0.032521
140,130,0.594629
150,130,1.07221
160,130,1.39691
170,130,1.58079
180,130,1.63506
190,130,1.56069
200,130,1.34735
210,130,0.979631
220,130,0.448111
230,130,-0.237229
240,130,-1.03092
250,130,-1.83037
260,130,-2.45951
270,130,-2.70984
280,130,-2.47736
290,130,-1.85879
300,130,-1.06083
310,130,-0.261265
320,130,0.435897
330,130,0.984843
340,130,1.37429
350,130,1.60905
360,130,1.6968
0,140,1.78414
10,140,1.74746
20,140,1.60465
30,140,1.35777
40,140,1.01571
50,140,0.601326
60,140,0.158382
70,140,-0.245811
80,140,-0.529097
90,140,-0.620299
100,140,-0.493574
110,140,-0.184031
120,140,0.231646
130,140,0.670919
140,140,1.07038
150,140,1.39278
160,140,1.62229
170,140,1.75532
180,140,1.79159
190,140,1.72894
200,140,1.56302
210,140,1.29124
220,140,0.919241
230,140,0.468117
240,140,-0.0189524
250,140,-0.473083
260,140,-0.805888
270,140,-0.935185
280,140,-0.824947
290,140,-0.507079
300,140,-0.0615968
310,140,0.423115
320,140,0.877153
330,140,1.25627
340,140,1.53807
350,140,1.71445
360,140,1.78414
0,150,1.8908
10,150,1.87406
20,150,1.79227
30,150,1.65115
40,150,1.46186
50,150,1.24292
60,150,1.02118
70,150,0.829952
80,150,0.703143
90,150,0.666225
100,150,0.727481
110,150,0.874728
120,150,1.0798
130,150,1.30798
140,150,1.52715
150,150,1.71295
160,150,1.84974
170,150,1.9286
180,150,1.94469
190,150,1.89548
200,150,1.78079
210,150,1.60436
220,150,1.37632
230,150,1.11538
240,150,0.849806
250,150,0.615617
260,150,0.450911
270,150,0.386118
280,150,0.43369
290,150,0.583284
300,150,0.805844
310,150,1.06366
320,150,1.32037
330,150,1.54706
340,150,1.72417
350,150,1.84047
360,150,1.8908
0,160,2.0074
10,160,2.00651
20,160,1.97489
30,160,1.91685
40,160,1.8395
50,160,1.75262
60,160,1.66805
70,160,1.5983
80,160,1.55458
90,160,1.54451
100,160,1.57036
110,160,1.62846
120,160,1.71009
130,160,1.8035
140,160,1.89619
150,160,1.97679
160,160,2.03621
170,160,2.06795
180,160,2.0681
190,160,2.03527
200,160,1.97067
210,160,1.87847
220,160,1.76605
230,160,1.64401
240,160,1.52556
250,160,1.42507
260,160,1.35584
270,160,1.32749
280,160,1.34378
290,160,1.4017
300,160,1.49222
310,160,1.60236
320,160,1.71782
330,160,1.82528
340,160,1.91391
350,160,1.97609
360,160,2.0074
0,170,2.10448
10,170,2.11003
20,170,2.10769
30,170,2.09867
40,170,2.08494
50,170,2.06901
60,170,2.05366
70,170,2.04156
80,170,2.03488
90,170,2.03501
100,170,2.04231
110,170,2.05607
120,170,2.07456
130,170,2.09537
140,170,2.11566
150,170,2.13262
160,170,2.1437
170,170,2.147
180,170,2.14135
190,170,2.12654
200,170,2.10329
210,170,2.07328
220,170,2.039
230,170,2.00357
240,170,1.97043
250,170,1.94291
260,170,1.92385
270,170,1.91518
280,170,1.91766
290,170,1.93072
300,170,1.95263
310,170,1.98071
320,170,2.01172
330,170,2.04232
340,170,2.06948
350,170,2.09074
360,170,2.10448
0,180,2.15361
10,180,2.15361
20,180,2.15361
30,180,2.15361
40,180,2.15361
50,180,2.15361
60,180,2.15361
70,180,2.15361
80,180,2.15361
90,180,2.15361
100,180,2.15361
110,180,2.15361
120,180,2.15361
130,180,2.15361
140,180,2.15361
150,180,2.15361
160,180,2.15361
170,180,2.15361
180,180,2.15361
190,180,2.15361
200,180,2.15361
210,180,2.15361
220,180,2.15361
230,180,2.15361
240,180,2.15361
250,180,2.15361
260,180,2.15361
270,180,2.15361
280,180,2.15361
290,180,2.15361
300,180,2.15361
310,180,2.15361
320,180,2.15361
330,180,2.15361
340,180,2.15361
350,180,2.15361
360,180,2.15361
